entry_time,direction,entry,entry_deal,entry_comment,exit_time,exit,exit_deal,profit,exit_comment,report,split,is_grid,is_trend
2026-04-09 10:15:00,SELL,4724.37,10,Grid sell: range 2.95 ATR mean,2026-04-09 10:27:40,4710.26,11,14.11,tp 4710.26,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,True,False
2026-04-23 07:45:00,SELL,4701.72,12,Trend sell v7: candle-confirme,2026-04-23 08:50:40,4713.35,13,-11.63,sl 4713.35,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-04-24 07:00:00,SELL,4672.0,14,Trend sell v7: candle-confirme,2026-04-24 07:46:40,4671.7,15,0.3,sl 4671.70,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-04-28 07:05:00,SELL,4667.87,16,Trend sell v7: candle-confirme,2026-04-28 08:30:40,4645.84,17,22.03,tp 4645.84,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-05-04 11:00:00,SELL,4578.93,18,Trend sell v7: candle-confirme,2026-05-04 13:06:40,4548.03,19,30.9,tp 4548.03,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-05-11 03:00:00,SELL,4691.52,20,Trend sell v7: candle-confirme,2026-05-11 03:31:40,4691.22,21,0.3,sl 4691.22,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-05-15 06:35:00,SELL,4609.12,22,Trend sell v7: candle-confirme,2026-05-15 08:59:40,4560.32,23,48.8,tp 4560.32,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-05-22 23:45:00,SELL,4504.73,24,Trend sell v7: candle-confirme,2026-05-25 01:01:00,4511.84,25,-7.11,sl 4511.84,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-05-27 10:15:00,SELL,4480.19,26,Trend sell v7: candle-confirme,2026-05-27 11:19:40,4490.29,27,-10.1,sl 4490.29,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-05-27 16:00:00,SELL,4438.81,28,Trend sell v7: candle-confirme,2026-05-27 16:46:20,4428.21,29,10.6,sl 4428.21,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-06-08 06:15:00,SELL,4304.69,30,Trend sell v7: candle-confirme,2026-06-08 07:00:40,4319.78,31,-15.09,sl 4319.78,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-06-10 07:30:00,SELL,4174.42,32,Trend sell v7: candle-confirme,2026-06-10 08:32:40,4190.58,33,-16.16,sl 4190.58,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-06-10 22:05:00,SELL,4096.18,34,Trend sell v7: candle-confirme,2026-06-11 01:06:40,4055.97,35,40.21,tp 4055.97,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
