split,trades,net_profit,profit_factor,win_rate,max_drawdown,max_drawdown_pct,expectancy,avg_r,fast_ema_period,slow_ema_period,adx_period,trend_adx_threshold,range_adx_threshold,rsi_period,trend_buy_max_rsi,trend_sell_min_rsi,atr_period,min_atr_factor,bands_period,range_lookback_bars,range_min_width_atr,range_max_width_atr,range_ema_gap_atr,min_trend_efficiency_ratio,max_trend_choppiness,min_trend_ema_gap_atr,min_trend_di_gap,pullback_atr,breakout_buffer_atr,range_edge_buffer_atr,range_reward_risk,trend_atr_stop_multiplier,trend_reward_risk,long_trend_reward_risk,short_trend_reward_risk,max_signal_bar_atr,allow_range,allow_trend
train,335,-0.6623641241581276,0.8450270503619309,44.47761194029851,1.0000794136406341,0.9996963163940789,-0.0019772063407705303,-0.08865671641791026,21,55,14,22.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.9,1.7,0.0,1.2,True,True
train,216,-0.6771553870262482,0.766829244251913,45.83333333333333,0.8396891230844119,0.8390082098450716,-0.003134978643640038,-0.06712962962962948,21,55,14,24.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,1.7,1.7,0.0,1.2,True,True
train,218,-0.6791904751407242,0.7756812994231571,45.87155963302752,0.8135645753814345,0.8131336366201135,-0.0031155526382602027,-0.06009174311926584,21,55,14,22.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,1.7,1.7,0.0,1.2,True,True
train,337,-0.6852906176298145,0.833087731857433,44.21364985163205,0.986286068140771,0.9858030240485501,-0.002033503316408945,-0.09614243323442144,21,55,14,22.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.9,1.7,0.0,1.2,True,True
train,327,-0.6978943149656675,0.8078285689517867,44.95412844036697,0.9049783279997285,0.9040757876765807,-0.0021342333790999005,-0.09449541284403667,21,55,14,28.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.2,1.7,0.0,1.2,True,True
train,327,-0.6978943149656675,0.8078285689517867,44.95412844036697,0.9049783279997285,0.9040757876765807,-0.0021342333790999005,-0.09449541284403667,21,55,14,28.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.9,1.7,0.0,1.2,True,True
train,334,-0.7080745044489891,0.8204645705042175,44.61077844311377,0.9427833284678258,0.9418430849905987,-0.0021199835462544585,-0.09520958083832362,21,55,14,24.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,1.7,1.7,0.0,1.2,True,True
train,333,-0.7118368296395533,0.8284891025231786,44.44444444444444,1.102225990301264,1.1012239290167523,-0.0021376481370557155,-0.09699699699699686,21,55,14,24.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.9,1.7,0.0,1.2,True,True
train,326,-0.717408478846694,0.8121637107852617,45.39877300613497,0.8724166699807938,0.8716995238614901,-0.0022006395056647057,-0.08343558282208577,21,55,14,28.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,1.7,1.7,0.0,1.2,True,True
train,326,-0.717408478846694,0.8121637107852617,45.39877300613497,0.8724166699807938,0.8716995238614901,-0.0022006395056647057,-0.08343558282208577,21,55,14,28.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.2,1.7,0.0,1.2,True,True
